date,station_name,river_name,station_code,variable,value,unit,source_sheet_index
2022-09-21,松浦大桥,黄浦江,63401120,flow,786.0,m3/s,2
2022-09-22,松浦大桥,黄浦江,63401120,flow,640.0,m3/s,2
2022-09-23,松浦大桥,黄浦江,63401120,flow,543.0,m3/s,2
2022-09-24,松浦大桥,黄浦江,63401120,flow,392.0,m3/s,2
2022-09-25,松浦大桥,黄浦江,63401120,flow,425.0,m3/s,2
2022-09-26,松浦大桥,黄浦江,63401120,flow,229.0,m3/s,2
2022-09-27,松浦大桥,黄浦江,63401120,flow,171.0,m3/s,2
2022-09-28,松浦大桥,黄浦江,63401120,flow,256.0,m3/s,2
2022-09-29,松浦大桥,黄浦江,63401120,flow,286.0,m3/s,2
2022-09-30,松浦大桥,黄浦江,63401120,flow,317.0,m3/s,2
2022-10-01,松浦大桥,黄浦江,63401120,flow,439.0,m3/s,2
2022-10-02,松浦大桥,黄浦江,63401120,flow,637.0,m3/s,2
2022-10-03,松浦大桥,黄浦江,63401120,flow,659.0,m3/s,2
2022-10-04,松浦大桥,黄浦江,63401120,flow,311.0,m3/s,2
2022-10-05,松浦大桥,黄浦江,63401120,flow,865.0,m3/s,2
2022-10-06,松浦大桥,黄浦江,63401120,flow,597.0,m3/s,2
2022-10-07,松浦大桥,黄浦江,63401120,flow,488.0,m3/s,2
2022-10-08,松浦大桥,黄浦江,63401120,flow,558.0,m3/s,2
2022-10-09,松浦大桥,黄浦江,63401120,flow,449.0,m3/s,2
2022-10-10,松浦大桥,黄浦江,63401120,flow,411.0,m3/s,2
2022-10-11,松浦大桥,黄浦江,63401120,flow,588.0,m3/s,2
2022-10-12,松浦大桥,黄浦江,63401120,flow,464.0,m3/s,2
2022-10-13,松浦大桥,黄浦江,63401120,flow,339.0,m3/s,2
2022-10-14,松浦大桥,黄浦江,63401120,flow,466.0,m3/s,2
2022-10-15,松浦大桥,黄浦江,63401120,flow,662.0,m3/s,2
2022-10-16,松浦大桥,黄浦江,63401120,flow,691.0,m3/s,2
2022-10-17,松浦大桥,黄浦江,63401120,flow,379.0,m3/s,2
2022-10-18,松浦大桥,黄浦江,63401120,flow,1130.0,m3/s,2
2022-10-19,松浦大桥,黄浦江,63401120,flow,1060.0,m3/s,2
2022-10-20,松浦大桥,黄浦江,63401120,flow,923.0,m3/s,2
2022-10-21,松浦大桥,黄浦江,63401120,flow,822.0,m3/s,2
2022-10-22,松浦大桥,黄浦江,63401120,flow,637.0,m3/s,2
2022-10-23,松浦大桥,黄浦江,63401120,flow,389.0,m3/s,2
2022-10-24,松浦大桥,黄浦江,63401120,flow,377.0,m3/s,2
2022-10-25,松浦大桥,黄浦江,63401120,flow,323.0,m3/s,2
2022-10-26,松浦大桥,黄浦江,63401120,flow,253.0,m3/s,2
2022-10-27,松浦大桥,黄浦江,63401120,flow,136.0,m3/s,2
2022-10-28,松浦大桥,黄浦江,63401120,flow,234.0,m3/s,2
2022-10-29,松浦大桥,黄浦江,63401120,flow,444.0,m3/s,2
2022-10-30,松浦大桥,黄浦江,63401120,flow,431.0,m3/s,2
2022-10-31,松浦大桥,黄浦江,63401120,flow,486.0,m3/s,2
2022-11-01,松浦大桥,黄浦江,63401120,flow,590.0,m3/s,2
2022-11-02,松浦大桥,黄浦江,63401120,flow,900.0,m3/s,2
2022-11-03,松浦大桥,黄浦江,63401120,flow,886.0,m3/s,2
2022-11-04,松浦大桥,黄浦江,63401120,flow,444.0,m3/s,2
2022-11-05,松浦大桥,黄浦江,63401120,flow,786.0,m3/s,2
2022-11-06,松浦大桥,黄浦江,63401120,flow,622.0,m3/s,2
2022-11-07,松浦大桥,黄浦江,63401120,flow,514.0,m3/s,2
2022-11-08,松浦大桥,黄浦江,63401120,flow,445.0,m3/s,2
2022-11-09,松浦大桥,黄浦江,63401120,flow,453.0,m3/s,2
2022-11-10,松浦大桥,黄浦江,63401120,flow,458.0,m3/s,2
2022-11-11,松浦大桥,黄浦江,63401120,flow,468.0,m3/s,2
2022-11-12,松浦大桥,黄浦江,63401120,flow,573.0,m3/s,2
2022-11-13,松浦大桥,黄浦江,63401120,flow,424.0,m3/s,2
2022-11-14,松浦大桥,黄浦江,63401120,flow,1030.0,m3/s,2
2022-11-15,松浦大桥,黄浦江,63401120,flow,807.0,m3/s,2
2022-11-16,松浦大桥,黄浦江,63401120,flow,879.0,m3/s,2
2022-11-17,松浦大桥,黄浦江,63401120,flow,694.0,m3/s,2
2022-11-18,松浦大桥,黄浦江,63401120,flow,789.0,m3/s,2
2022-11-19,松浦大桥,黄浦江,63401120,flow,838.0,m3/s,2
2022-11-20,松浦大桥,黄浦江,63401120,flow,804.0,m3/s,2
2022-11-21,松浦大桥,黄浦江,63401120,flow,636.0,m3/s,2
2022-11-22,松浦大桥,黄浦江,63401120,flow,573.0,m3/s,2
2022-11-23,松浦大桥,黄浦江,63401120,flow,537.0,m3/s,2
2022-11-24,松浦大桥,黄浦江,63401120,flow,506.0,m3/s,2
2022-11-25,松浦大桥,黄浦江,63401120,flow,487.0,m3/s,2
2022-11-26,松浦大桥,黄浦江,63401120,flow,405.0,m3/s,2
2022-11-27,松浦大桥,黄浦江,63401120,flow,576.0,m3/s,2
2022-11-28,松浦大桥,黄浦江,63401120,flow,631.0,m3/s,2
2022-11-29,松浦大桥,黄浦江,63401120,flow,55.6,m3/s,2
2022-11-30,松浦大桥,黄浦江,63401120,flow,969.0,m3/s,2
2022-12-01,松浦大桥,黄浦江,63401120,flow,1390.0,m3/s,2
2022-12-02,松浦大桥,黄浦江,63401120,flow,1170.0,m3/s,2
2022-12-03,松浦大桥,黄浦江,63401120,flow,1100.0,m3/s,2
2022-12-04,松浦大桥,黄浦江,63401120,flow,540.0,m3/s,2
2022-12-05,松浦大桥,黄浦江,63401120,flow,947.0,m3/s,2
2022-12-06,松浦大桥,黄浦江,63401120,flow,1070.0,m3/s,2
2022-12-07,松浦大桥,黄浦江,63401120,flow,980.0,m3/s,2
2022-12-08,松浦大桥,黄浦江,63401120,flow,953.0,m3/s,2
2022-12-09,松浦大桥,黄浦江,63401120,flow,781.0,m3/s,2
2022-12-10,松浦大桥,黄浦江,63401120,flow,855.0,m3/s,2
2022-12-11,松浦大桥,黄浦江,63401120,flow,711.0,m3/s,2
2022-12-12,松浦大桥,黄浦江,63401120,flow,1080.0,m3/s,2
2022-12-13,松浦大桥,黄浦江,63401120,flow,1060.0,m3/s,2
2022-12-14,松浦大桥,黄浦江,63401120,flow,986.0,m3/s,2
2022-12-15,松浦大桥,黄浦江,63401120,flow,1340.0,m3/s,2
2022-12-16,松浦大桥,黄浦江,63401120,flow,735.0,m3/s,2
2022-12-17,松浦大桥,黄浦江,63401120,flow,1440.0,m3/s,2
2022-12-18,松浦大桥,黄浦江,63401120,flow,1450.0,m3/s,2
2022-12-19,松浦大桥,黄浦江,63401120,flow,1250.0,m3/s,2
2022-12-20,松浦大桥,黄浦江,63401120,flow,700.0,m3/s,2
2022-12-21,松浦大桥,黄浦江,63401120,flow,882.0,m3/s,2
2022-12-22,松浦大桥,黄浦江,63401120,flow,784.0,m3/s,2
2022-12-23,松浦大桥,黄浦江,63401120,flow,787.0,m3/s,2
2022-12-24,松浦大桥,黄浦江,63401120,flow,803.0,m3/s,2
2022-12-25,松浦大桥,黄浦江,63401120,flow,648.0,m3/s,2
2022-12-26,松浦大桥,黄浦江,63401120,flow,575.0,m3/s,2
2022-12-27,松浦大桥,黄浦江,63401120,flow,655.0,m3/s,2
2022-12-28,松浦大桥,黄浦江,63401120,flow,721.0,m3/s,2
2022-12-29,松浦大桥,黄浦江,63401120,flow,887.0,m3/s,2
